Mouse# / gating level ,Statistic (%) ,# of Cells
1023 Tumor.fcs,,11272512
1023 Tumor.fcs/Lymphocytes,9.02,1017256
1023 Tumor.fcs/Lymphocytes/Single Cells,96.5,981584
1023 Tumor.fcs/Lymphocytes/Single Cells/Live,19.4,190502
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,84.4,160761
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,50.9,81896
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,31.8,26028
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,26.3,21507
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,84.8,18243
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,4.47,962
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,5.32,1145
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,90.3,19419
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,77.2,16607
1023 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1044 TUMOR.fcs,,9636776
1044 TUMOR.fcs/Lymphocytes,3.78,364656
1044 TUMOR.fcs/Lymphocytes/Single Cells,90,328030
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live,30.1,98694
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+,86.9,85801
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,28.5,24476
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,55.4,13558
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,24.7,6047
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,79.6,4813
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.83,413
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,17.3,1045
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,15.3,925
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,33,1994
1044 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1045 Tumor.fcs,,15577672
1045 Tumor.fcs/Lymphocytes,5.28,822815
1045 Tumor.fcs/Lymphocytes/Single Cells,94.2,774997
1045 Tumor.fcs/Lymphocytes/Single Cells/Live,67.8,525583
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,70.4,369896
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,22.9,84615
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,52.9,44797
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,13.9,11756
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0.61,72
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0.043,5
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,19.5,2294
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,2.14,252
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,14.6,1714
1045 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1063 Tumor.fcs,,4342656
1063 Tumor.fcs/Lymphocytes,22.7,986429
1063 Tumor.fcs/Lymphocytes/Single Cells,96.2,948881
1063 Tumor.fcs/Lymphocytes/Single Cells/Live,67.5,640580
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,94.2,603571
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,10.5,63085
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,49.7,31358
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,26.8,16918
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,52.3,8846
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.83,987
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,25.3,4275
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,14.3,2421
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,22.3,3769
1063 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1088 Tumor.fcs,,11194392
1088 Tumor.fcs/Lymphocytes,18.2,2035371
1088 Tumor.fcs/Lymphocytes/Single Cells,88.8,1807392
1088 Tumor.fcs/Lymphocytes/Single Cells/Live,48.7,880273
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,74.9,659244
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,15.1,99411
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,37.4,37223
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,29,28803
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,71.2,20521
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.97,566
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,5.82,1677
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,23.7,6820
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,41.7,12015
1088 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1103 Tumor.fcs,,8883872
1103 Tumor.fcs/Lymphocytes,8.1,719947
1103 Tumor.fcs/Lymphocytes/Single Cells,88.9,640194
1103 Tumor.fcs/Lymphocytes/Single Cells/Live,53.7,344078
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,90.2,310314
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,24.8,76810
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,40.6,31165
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,35.6,27332
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,66.4,18139
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.69,461
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,6.66,1819
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,19.1,5233
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,23.3,6381
1103 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1107 Tumor.fcs,,6378832
1107 Tumor.fcs/Lymphocytes,9.44,602476
1107 Tumor.fcs/Lymphocytes/Single Cells,93,560491
1107 Tumor.fcs/Lymphocytes/Single Cells/Live,80.5,451464
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,86.6,391167
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,24.8,97150
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,68.2,66253
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,10,9719
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,58.3,5671
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,4.51,438
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,19.6,1906
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,15.6,1515
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,45.2,4391
1107 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1108 Tumor.fcs,,4902856
1108 Tumor.fcs/Lymphocytes,10.9,535041
1108 Tumor.fcs/Lymphocytes/Single Cells,95.8,512584
1108 Tumor.fcs/Lymphocytes/Single Cells/Live,67.9,347816
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,87.8,305455
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,10.2,31268
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,48.5,15168
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,16.7,5225
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,44.7,2335
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,7.98,417
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,33,1725
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,12.7,661
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,30.9,1617
1108 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1109 Tumor.fcs,,5864936
1109 Tumor.fcs/Lymphocytes,10.5,614091
1109 Tumor.fcs/Lymphocytes/Single Cells,97.1,596022
1109 Tumor.fcs/Lymphocytes/Single Cells/Live,66.9,398801
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,89.8,358063
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,24.7,88576
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,59.1,52318
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,17.3,15316
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,54.5,8340
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.54,849
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,18.3,2801
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,7.33,1122
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,30.6,4688
1109 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1112 tumor.fcs,,12411360
1112 tumor.fcs/Lymphocytes,10.2,1269713
1112 tumor.fcs/Lymphocytes/Single Cells,90.3,1146840
1112 tumor.fcs/Lymphocytes/Single Cells/Live,23,263642
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,74.8,197146
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,35.7,70397
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,49,34483
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,34.2,24076
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,86.6,20857
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.77,425
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,4.96,1193
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,11,2646
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,66.1,15915
1112 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.3,4542
1124 tumor.fcs,,2935112
1124 tumor.fcs/Lymphocytes,11.8,346653
1124 tumor.fcs/Lymphocytes/Single Cells,93.6,324300
1124 tumor.fcs/Lymphocytes/Single Cells/Live,50,162252
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,85.7,139096
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,24.2,33727
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,43.4,14635
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,37.3,12583
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,74.4,9359
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,4.58,576
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,10.7,1350
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,13,1636
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,60,7544
1124 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.58,3591
1125 tumor.fcs,,6478728
1125 tumor.fcs/Lymphocytes,15.6,1007466
1125 tumor.fcs/Lymphocytes/Single Cells,97,977599
1125 tumor.fcs/Lymphocytes/Single Cells/Live,48.6,475565
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,63.4,301742
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,4.99,15061
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,37.7,5673
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,23.8,3578
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,83.7,2993
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.84,66
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,4.97,178
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,5.17,185
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,35.1,1255
1125 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0.38,1150
1126 Tumor.fcs,,12794008
1126 Tumor.fcs/Lymphocytes,7.2,921288
1126 Tumor.fcs/Lymphocytes/Single Cells,93.1,857552
1126 Tumor.fcs/Lymphocytes/Single Cells/Live,59.4,509760
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,95.1,484733
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,25.5,123759
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,62.6,77463
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,16.3,20228
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,72.4,14638
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,7.03,1423
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,14,2829
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,17.4,3517
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,53.1,10740
1126 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1127 Tumor.fcs,,12447928
1127 Tumor.fcs/Lymphocytes,6.79,845228
1127 Tumor.fcs/Lymphocytes/Single Cells,95,802547
1127 Tumor.fcs/Lymphocytes/Single Cells/Live,57,457352
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,94.5,432336
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,27.1,117121
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,60,70245
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,20.4,23910
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,56.6,13522
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.7,1603
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,16.7,3995
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,19.5,4674
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,41,9803
1127 Tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1127 dead spleen.fcs,,14813
1127 dead spleen.fcs/Lymphocytes,0.22,32
1127 dead spleen.fcs/Lymphocytes/Single Cells,100,32
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live,3.12,1
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,0,0
1127 dead spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1127 unstained spleen.fcs,,7213
1127 unstained spleen.fcs/Lymphocytes,61.3,4421
1127 unstained spleen.fcs/Lymphocytes/Single Cells,93.8,4145
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live,100,4145
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,0,0
1127 unstained spleen.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1131 Tumor fresh.fcs,,12235800
1131 Tumor fresh.fcs/Lymphocytes,15.2,1856712
1131 Tumor fresh.fcs/Lymphocytes/Single Cells,97.1,1803112
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live,90.1,1623747
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+,11.4,184907
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,15.6,28823
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,39.7,11440
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,20.1,5807
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,33.4,1937
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,37.5,2176
1131 Tumor fresh.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1138 TUMOR.fcs,,312528
1138 TUMOR.fcs/Lymphocytes,10.2,31971
1138 TUMOR.fcs/Lymphocytes/Single Cells,92.9,29710
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live,21.1,6272
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+,67.7,4249
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,13.6,576
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,18.2,105
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,10.9,63
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,74.6,47
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.59,1
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,4.76,3
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,27,17
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,60.3,38
1138 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,6.78,288
1139 TUMOR.fcs,,1132248
1139 TUMOR.fcs/Lymphocytes,14.8,167853
1139 TUMOR.fcs/Lymphocytes/Single Cells,96,161086
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live,65.9,106090
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+,83.6,88647
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,19.3,17141
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,31.2,5347
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,33.7,5768
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,9.93,573
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.84,337
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,73.2,4221
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,2.41,139
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,6.45,372
1139 TUMOR.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,5.18,4594
1163 tumor.fcs,,4468984
1163 tumor.fcs/Lymphocytes,12.6,562875
1163 tumor.fcs/Lymphocytes/Single Cells,92.2,518972
1163 tumor.fcs/Lymphocytes/Single Cells/Live,72.1,374339
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,95,355688
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,27.7,98676
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,21.9,21562
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,41,40481
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,62.7,25391
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.75,710
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,11.3,4572
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,2.98,1207
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,34.3,13893
1163 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,5.31,18890
1164 tumor.fcs,,7743680
1164 tumor.fcs/Lymphocytes,14,1082391
1164 tumor.fcs/Lymphocytes/Single Cells,95,1028033
1164 tumor.fcs/Lymphocytes/Single Cells/Live,55.5,570794
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,19,108383
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,9.39,10179
1164 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,61,6213
